"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Abstract","TL;DR"
"Kernel weighted least square approach for imputing missing values of metabolomics data.","https://scispace.com/papers/kernel-weighted-least-square-approach-for-imputing-missing-9hgmkt3bgp","2021","Journal Article","Scientific Reports","Nishith Kumar
Md. Aminul Hoque
Masahiro Sugimoto
Masahiro Sugimoto","10.1038/S41598-021-90654-0","https://scispace.com/pdf/kernel-weighted-least-square-approach-for-imputing-missing-9hgmkt3bgp.pdf","Yes","","Mass spectrometry is a modern and sophisticated high-throughput analytical technique that enables large-scale metabolomic analyses It yields a high-dimensional large-scale matrix (samples × metabolites) of quantified data that often contain missing cells in the data matrix as well as outliers that originate for several reasons, including technical and biological sources Although several missing data imputation techniques are described in the literature, all conventional existing techniques only solve the missing value problems They do not relieve the problems of outliers Therefore, outliers in the dataset decrease the accuracy of the imputation We developed a new kernel weight function-based proposed missing data imputation technique that resolves the problems of missing values and outliers We evaluated the performance of the proposed method and other conventional and recently developed missing imputation techniques using both artificially generated data and experimentally measured data analysis in both the absence and presence of different rates of outliers Performances based on both artificial data and real metabolomics data indicate the superiority of our proposed kernel weight-based missing data imputation technique to the existing alternatives For user convenience, an R package of the proposed kernel weight-based missing value imputation technique was developed, which is available at https://githubcom/NishithPaul/tWLSA","Nishith Paul et al. as mentioned in this paper developed a new kernel weight function based missing data imputation technique that resolves the problems of missing values and outliers by resolving the missing cells in the data matrix as well as outliers that originate from technical and biological sources."
"Addressing Missing Data in GC×GC Metabolomics: Identifying Missingness Type and Evaluating the Impact of Imputation Methods on Experimental Replication","https://scispace.com/papers/addressing-missing-data-in-gcxgc-metabolomics-identifying-2ypw3sqv","2022","Posted Content","","","10.26434/chemrxiv-2021-v9djt-v3","","Yes","","Missing data is a significant issue in metabolomics that is often neglected when conducting data pre-processing, particularly when it comes to imputation. This can have serious implications for downstream statistical analyses and lead to misleading or uninterpretable inferences. In this study, we aim to identify the primary types of missingness that affect untargeted metabolomics data and compare strategies for imputation using two real-world comprehensive two-dimensional gas chromatog-raphy (GC×GC) data sets. We also present these goals in the context of experimental replication whereby imputation is conducted in a within-replicate-based fashion—the first description and evaluation of this strategy—and introduce an R package MetabImpute to carry out these analyses. Our results conclude that, in these two data sets, missingness was most likely of the missing at-random (MAR) and missing not-at-random (MNAR) types as opposed to missing completely at-random (MCAR). Gibbs sampler imputation and Random Forest gave the best results when imputing MAR and MNAR compared against single-value imputation (zero, minimum, mean, median, and half-minimum) and other more sophisticated approach-es (Bayesian principal components analysis and quantile regression imputation for left-censored data). When samples are replicated, within-replicate imputation approaches led to an increase in the reproducibility of peak quantification compared to imputation that ignores replication, suggesting that imputing with respect to replication may preserve potentially important features in downstream analyses for biomarker discovery.","In this paper , the authors identify the primary types of missingness that affect untargeted metabolomics data and compare strategies for imputation using two real-world comprehensive two-dimensional gas chromatography (GC×GC) data sets."
"Addressing Missing Data in GC × GC Metabolomics: Identifying Missingness Type and Evaluating the Impact of Imputation Methods on Experimental Replication","https://scispace.com/papers/addressing-missing-data-in-gc-x-gc-metabolomics-identifying-1ri6obzd","2022","Journal Article","Analytical Chemistry","Vishal Jhanji
Margarita N. Favorskaya","10.1021/acs.analchem.1c04093","","No","","Missing data is a significant issue in metabolomics that is often neglected when conducting data preprocessing, particularly when it comes to imputation. This can have serious implications for downstream statistical analyses and lead to misleading or uninterpretable inferences. In this study, we aim to identify the primary types of missingness that affect untargeted metabolomics data and compare strategies for imputation using two real-world comprehensive two-dimensional gas chromatography (GC × GC) data sets. We also present these goals in the context of experimental replication whereby imputation is conducted in a within-replicate-based fashion─the first description and evaluation of this strategy─and introduce an R package MetabImpute to carry out these analyses. Our results conclude that, in these two GC × GC data sets, missingness was most likely of the missing at-random (MAR) and missing not-at-random (MNAR) types as opposed to missing completely at-random (MCAR). Gibbs sampler imputation and Random Forest gave the best results when imputing MAR and MNAR compared against single-value imputation (zero, minimum, mean, median, and half-minimum) and other more sophisticated approaches (Bayesian principal component analysis and quantile regression imputation for left-censored data). When samples are replicated, within-replicate imputation approaches led to an increase in the reproducibility of peak quantification compared to imputation that ignores replication, suggesting that imputing with respect to replication may preserve potentially important features in downstream analyses for biomarker discovery.","In this paper , the primary types of missingness that affect untargeted metabolomics data and compare strategies for imputation using two real-world comprehensive two-dimensional gas chromatography (GC × GC) data sets."
"Data normalization strategies in metabolomics: Current challenges, approaches, and tools:","https://scispace.com/papers/data-normalization-strategies-in-metabolomics-current-fnez2lddfz","2020","Journal Article","European Journal of Mass Spectrometry","Biswapriya B. Misra","10.1177/1469066720918446","","No","77","Data normalization is a big challenge in quantitative metabolomics approaches, whether targeted or untargeted. Without proper normalization, the mass-spectrometry and spectroscopy data can provide erroneous, sub-optimal data, which can lead to misleading and confusing biological results and thereby result in failed application to human healthcare, clinical, and other research avenues. To address this issue, a number of statistical approaches and software tools have been proposed in the literature and implemented over the years, thereby providing a multitude of approaches to choose from - either sample-based or data-based normalization strategies. In recent years, new dedicated software tools for metabolomics data normalization have surfaced as well. In this account article, I summarize the existing approaches and the new discoveries and research findings in this area of metabolomics data normalization, and I introduce some recent tools that aid in data normalization.","The existing approaches and the new discoveries and research findings in this area of metabolomics data normalization are summarized, and some recent tools that aid in datanormalization are introduced."
"Transformed and filtered metabolite abundances","https://scispace.com/papers/transformed-and-filtered-metabolite-abundances-1tdtf9r8ts","2022","Dataset","","Haley Chatelaine","10.6084/m9.figshare.19233540","","No","","Metabolites with RSD &lt; 30% in pooled QCs were removed, yielding 365 metabolites in positive mode and 414 in negative mode. Metabolite intensities were normalized by sample weight and total ion count, and signal drift corrected with QC-RSC. Missing values were imputed with half-minimum values, and intensities were log2-transformed and auto-scaled before merging positive and negative datasets. Duplicate metabolites were removed using a workflow described in the publication.","Metabolite abundances were transformed and filtered, yielding a dataset of 365 and 414 metabolites in positive and negative modes, respectively. The dataset was processed for normalization, drift correction, imputation, and merging, resulting in a final dataset suitable for downstream analysis."
"Optimization of Imputation Strategies for High-Resolution Gas Chromatography-Mass Spectrometry (HR GC-MS) Metabolomics Data","https://scispace.com/papers/optimization-of-imputation-strategies-for-high-resolution-ybdxmtwu","2022","Posted Content","","","10.20944/preprints202204.0106.v1","","Yes","","Gas chromatography-coupled mass spectrometry (GC-MS) has been used in biomedical research to analyze volatile, non-polar, and polar metabolites in a wide array of sample types. Despite advances in technology, missing values are still common in metabolomics datasets and must be properly handled. We evaluated the performance of ten commonly used missing value imputation methods with metabolites analyzed on an HR GC-MS instrument. By introducing missing values into the complete (i.e., data without any missing values) NIST plasma dataset we demonstrate that Random Forest (RF), Glmnet Ridge Regression (GRR), and Bayesian Principal Component Analysis (BPCA) shared the lowest Root Mean Squared Error (RMSE) in technical replicate data. Further examination of these three methods in data from baboon plasma and liver samples demonstrated they all maintained high accuracy. Overall, our analysis suggests that any of the three imputation methods can be applied effectively to untargeted metabolomics datasets with high accuracy. However, it is important to note that imputation will alter the correlation structure of the dataset, and bias downstream regression coefficients and p-values.","In this article , the authors evaluated the performance of ten commonly used missing value imputation methods with metabolites analyzed on an HR GC-MS instrument and showed that three of them, Random Forest (RF), Glmnet Ridge Regression (GRR), and Bayesian Principal Component Analysis (BPCA), shared the lowest Root Mean Squared Error (RMSE) in technical replicate data."
"Computational Methods for Data Integration and Imputation of Missing Values in <i>Omics</i> Datasets","https://scispace.com/papers/computational-methods-for-data-integration-and-imputation-of-3faon0ix0og7","2024","Journal Article","Proteomics","Yannis Schumann
Antonia Gocke
Julia E. Neumann","10.1002/pmic.202400100","","No","","ABSTRACT Molecular profiling of different omic ‐modalities (e.g., DNA methylomics, transcriptomics, proteomics) in biological systems represents the basis for research and clinical decision‐making. Measurement‐specific biases, so‐called batch effects, often hinder the integration of independently acquired datasets, and missing values further hamper the applicability of typical data processing algorithms. In addition to careful experimental design, well‐defined standards in data acquisition and data exchange, the alleviation of these phenomena particularly requires a dedicated data integration and preprocessing pipeline. This review aims to give a comprehensive overview of computational methods for data integration and missing value imputation for omic data analyses. We provide formal definitions for missing value mechanisms and propose a novel statistical taxonomy for batch effects, especially in the presence of missing data. Based on an automated document search and systematic literature review, we describe 32 distinct data integration methods from five main methodological categories, as well as 37 algorithms for missing value imputation from five separate categories. Additionally, this review highlights multiple quantitative evaluation methods to aid researchers in selecting a suitable set of methods for their work. Finally, this work provides an integrated discussion of the relevance of batch effects and missing values in omics with corresponding method recommendations. We then propose a comprehensive three‐step workflow from the study conception to final data analysis and deduce perspectives for future research. Eventually, we present a comprehensive flow chart as well as exemplary decision trees to aid practitioners in the selection of specific approaches for imputation and data integration in their studies.","This review provides a comprehensive overview of computational methods for data integration and missing value imputation in omics datasets, including 32 data integration methods and 37 imputation algorithms, with a proposed three-step workflow and recommendations for batch effect mitigation."
"Mechanism-aware imputation: a two-step approach in handling missing values in metabolomics","https://scispace.com/papers/mechanism-aware-imputation-a-two-step-approach-in-handling-10e6z4ly","2022","Journal Article","BMC Bioinformatics","J. Dekermanjian
Elin Shaddox
Debmalya Nandy
Debashis Ghosh
Katerina Kechris","10.1186/s12859-022-04659-1","https://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-022-04659-1","Yes","","When analyzing large datasets from high-throughput technologies, researchers often encounter missing quantitative measurements, which are particularly frequent in metabolomics datasets. Metabolomics, the comprehensive profiling of metabolite abundances, are typically measured using mass spectrometry technologies that often introduce missingness via multiple mechanisms: (1) the metabolite signal may be smaller than the instrument limit of detection; (2) the conditions under which the data are collected and processed may lead to missing values; (3) missing values can be introduced randomly. Missingness resulting from mechanism (1) would be classified as Missing Not At Random (MNAR), that from mechanism (2) would be Missing At Random (MAR), and that from mechanism (3) would be classified as Missing Completely At Random (MCAR). Two common approaches for handling missing data are the following: (1) omit missing data from the analysis; (2) impute the missing values. Both approaches may introduce bias and reduce statistical power in downstream analyses such as testing metabolite associations with clinical variables. Further, standard imputation methods in metabolomics often ignore the mechanisms causing missingness and inaccurately estimate missing values within a data set. We propose a mechanism-aware imputation algorithm that leverages a two-step approach in imputing missing values. First, we use a random forest classifier to classify the missing mechanism for each missing value in the data set. Second, we impute each missing value using imputation algorithms that are specific to the predicted missingness mechanism (i.e., MAR/MCAR or MNAR). Using complete data, we conducted simulations, where we imposed different missingness patterns within the data and tested the performance of combinations of imputation algorithms. Our proposed algorithm provided imputations closer to the original data than those using only one imputation algorithm for all the missing values. Consequently, our two-step approach was able to reduce bias for improved downstream analyses.","In this paper , a mechanism-aware imputation algorithm was proposed to estimate missing values within a data set. But this method is limited to a subset of the missing values and cannot handle missing values in a large dataset."
"Mechanism-aware imputation: a two-step approach in handling missing values in metabolomics","https://scispace.com/papers/mechanism-aware-imputation-a-two-step-approach-in-handling-3gz7mj2a","2022","Journal Article","BMC Bioinformatics","J. Dekermanjian
Elin Shaddox
Debmalya Nandy
Debashis Ghosh
Katerina Kechris","10.1186/s12859-022-04659-1","https://scispace.com/pdf/mechanism-aware-imputation-a-two-step-approach-in-handling-3gz7mj2a.pdf","Yes","","When analyzing large datasets from high-throughput technologies, researchers often encounter missing quantitative measurements, which are particularly frequent in metabolomics datasets. Metabolomics, the comprehensive profiling of metabolite abundances, are typically measured using mass spectrometry technologies that often introduce missingness via multiple mechanisms: (1) the metabolite signal may be smaller than the instrument limit of detection; (2) the conditions under which the data are collected and processed may lead to missing values; (3) missing values can be introduced randomly. Missingness resulting from mechanism (1) would be classified as Missing Not At Random (MNAR), that from mechanism (2) would be Missing At Random (MAR), and that from mechanism (3) would be classified as Missing Completely At Random (MCAR). Two common approaches for handling missing data are the following: (1) omit missing data from the analysis; (2) impute the missing values. Both approaches may introduce bias and reduce statistical power in downstream analyses such as testing metabolite associations with clinical variables. Further, standard imputation methods in metabolomics often ignore the mechanisms causing missingness and inaccurately estimate missing values within a data set. We propose a mechanism-aware imputation algorithm that leverages a two-step approach in imputing missing values. First, we use a random forest classifier to classify the missing mechanism for each missing value in the data set. Second, we impute each missing value using imputation algorithms that are specific to the predicted missingness mechanism (i.e., MAR/MCAR or MNAR). Using complete data, we conducted simulations, where we imposed different missingness patterns within the data and tested the performance of combinations of imputation algorithms. Our proposed algorithm provided imputations closer to the original data than those using only one imputation algorithm for all the missing values. Consequently, our two-step approach was able to reduce bias for improved downstream analyses.","In this paper , a mechanism-aware imputation algorithm was proposed to estimate missing values within a data set. But this method is limited to a subset of the missing values and cannot handle missing values in a large dataset."
"From differential abundance to mtGWAS: accurate and scalable methodology for metabolomics data with non-ignorable missing observations and latent factors","https://scispace.com/papers/from-differential-abundance-to-mtgwas-accurate-and-scalable-taz8b3km","2022","","","Shan Zhao
Kedir N. Turi
Tina V. Hartert
Carole Ober
Klaus Bønnelykke
Bo L. Chawes
Hans Bisgaard
Chris McKennan","","","No","","Metabolomics is the high-throughput study of small molecule metabolites. Besides offering novel biological insights, these data contain unique statistical challenges, the most glaring of which is the many non-ignorable missing metabolite observations. To address this issue, nearly all analysis pipelines first impute missing observations, and subsequently perform analyses with methods designed for complete data. While clearly erroneous, these pipelines provide key practical advantages not present in existing statistically rigorous methods, including using both observed and missing data to increase power, fast computation to support phenome- and genome-wide analyses, and streamlined estimates for factor models. To bridge this gap between statistical fidelity and practical utility, we developed MS-NIMBLE, a statistically rigorous and powerful suite of methods that offers all the practical benefits of imputation pipelines to perform phenome-wide differential abundance analyses, metabolite genome-wide association studies (mtGWAS), and factor analysis with non-ignorable missing data. Critically, we tailor MS-NIMBLE to perform differential abundance and mtGWAS in the presence of latent factors, which reduces biases and improves power. In addition to proving its statistical and computational efficiency, we demonstrate its superior performance using three real metabolomic datasets.","This work developed MS-NIMBLE, a statistically rigorous and powerful suite of methods that offers all the practical benefits of imputation pipelines to perform phenome-wide differential abundance analyses, metabolite genome-wide association studies (mtGWAS), and factor analysis with non-ignorable missing data."
